Localidad,Largo,Ancho
Tona,7.5,4
Tona,5.2,3.1
Tona,6,3
Tona,6,3.3
Tona,6.2,4
Tona,5,2.9
Tona,7.2,4.2
Tona,6,3.5
Tona,7,4
Tona,6.2,3.2
Tona,5.2,2.5
Tona,6,3.5
Tona,6.2,3.2
Tona,5.2,2.7
Tona,6.2,3.5
Tona,7,4
Tona,7,3.9
Tona,6,2.5
Tona,5,2.5
Tona,5,2.5
Tona,6.3,3.2
Tona,7,4
Tona,6.2,3.5
Tona,5,2.7
Tona,6.5,3
Tona,6,3.5
Tona,5,3.4
Tona,5,2.5
Tona,6.5,3
Tona,7,3
Tona,5,3.5
Tona,6.5,4
Tona,4,2
Tona,6,3
Tona,6.5,3.5
Tona,5,3
Tona,6.2,3.5
Tona,5.5,3.5
Tona,3.5,2.5
Tona,5,2.5
Tona,6.5,3.5
Tona,5,2.5
Tona,4.5,2
Tona,5.5,2.4
Tona,4.4,2.3
Tona,6.5,3.5
Tona,6,3.5
Tona,6,3
Tona,6.5,3
Tona,6.6,3
Tona,8,4
Tona,6.5,3.5
Tona,6,3
Tona,5.5,2.5
Tona,6,3.5
Tona,5.5,2.5
Tona,5.5,3
Tona,6.5,3.9
Tona,4.4,2
Tona,4,2.3
Tona,4.6,2.4
Tona,6.6,4
Tona,4.5,3.3
Tona,5,3.5
Tona,6.1,2.8
Tona,7,3.9
Tona,5,3.3
Tona,5.3,3.5
Tona,7,3.9
Tona,5.7,3.3
Tona,6.5,3.1
Tona,5,2.4
Tona,5.4,3.5
Tona,6,3.2
Tona,6.9,3.3
Tona,8.2,4.1
Tona,6.9,4
Tona,6.9,3.3
Tona,6.4,3.2
Tona,7.8,4
Tona,6.5,3.3
Tona,6.9,3.5
Tona,7,3.8
Tona,7,3.6
Tona,7.5,3.4
Tona,8.4,4
Tona,8.5,4.3
Tona,9,4.6
Tona,5.8,3.2
Tona,6.8,3.6
Tona,7.3,3.3
Tona,7.6,3.6
Tona,7.3,3.6
Tona,6.7,3.4
Tona,6.6,3.1
Tona,6.2,3.4
Tona,4.8,2.3
Tona,5.5,2.7
Tona,6.9,3.4
Tona,6,3.1
Tona,8.8,4.6
Tona,8.1,5.1
Tona,8.5,4.3
Tona,7.1,3.5
Tona,8.6,4.5
Tona,6.5,3
Tona,8.8,4.7
Tona,7.8,4.5
Tona,9.9,4.2
Tona,5.7,3
Tona,7.8,3.8
Tona,8.2,4.5
Tona,6.7,3
Tona,8,3.8
Tona,6.4,3
Tona,8.1,4.2
Tona,10.5,5.4
Tona,9.2,4.6
Tona,9.8,4.8
Tona,6.2,3
Tona,7.3,3.9
Tona,7,3.2
