Localidad,Area
 Tona,4.4144
 Tona,3.1917
 Tona,3.3573
 Tona,3.5158
 Tona,3.9563
 Tona,3.049
 Tona,4.4355
 Tona,3.6216
 Tona,4.2382
 Tona,3.5194
 Tona,2.9168
 Tona,3.6216
 Tona,3.5194
 Tona,3.0084
 Tona,3.6832
 Tona,4.2382
 Tona,4.1765
 Tona,3.093
 Tona,2.8728
 Tona,2.8728
 Tona,3.5476
 Tona,4.2382
 Tona,3.6832
 Tona,2.9609
 Tona,3.4894
 Tona,3.6216
 Tona,3.2692
 Tona,2.8728
 Tona,3.4894
 Tona,3.6216
 Tona,3.3132
 Tona,4.062
 Tona,2.4764
 Tona,3.3573
 Tona,3.7757
 Tona,3.093
 Tona,3.6832
 Tona,3.4674
 Tona,2.5424
 Tona,2.8728
 Tona,3.7757
 Tona,2.8728
 Tona,2.5645
 Tona,2.9344
 Tona,2.6631
 Tona,3.7757
 Tona,3.6216
 Tona,3.3573
 Tona,3.4894
 Tona,3.5158
 Tona,4.5906
 Tona,3.7757
 Tona,3.3573
 Tona,2.9829
 Tona,3.6216
 Tona,2.9829
 Tona,3.2251
 Tona,4.0048
 Tona,2.5468
 Tona,2.5821
 Tona,2.7442
 Tona,4.0972
 Tona,3.0798
 Tona,3.3132
 Tona,3.2762
 Tona,4.1765
 Tona,3.2251
 Tona,3.4057
 Tona,4.1765
 Tona,3.4286
 Tona,3.5467
 Tona,2.8287
 Tona,3.4366
 Tona,3.463
 Tona,3.7775
 Tona,4.7333
 Tona,4.203
 Tona,3.7775
 Tona,3.5757
 Tona,4.5201
 Tona,3.6612
 Tona,3.899
 Tona,4.1149
 Tona,3.9915
 Tona,4.018
 Tona,4.7315
 Tona,4.9914
 Tona,5.4186
 Tona,3.4066
 Tona,3.9281
 Tona,3.8938
 Tona,4.1818
 Tona,4.0867
 Tona,3.7784
 Tona,3.574
 Tona,3.6286
 Tona,2.7442
 Tona,3.0798
 Tona,3.8383
 Tona,3.4101
 Tona,5.3376
 Tona,5.4107
 Tona,4.9914
 Tona,3.9607
 Tona,5.1808
 Tona,3.4894
 Tona,5.4151
 Tona,4.8636
 Tona,5.4345
 Tona,3.278
 Tona,4.3827
 Tona,5.0222
 Tona,3.5423
 Tona,4.4496
 Tona,3.463
 Tona,4.7685
 Tona,6.7664
 Tona,5.4997
 Tona,5.9154
 Tona,3.4101
 Tona,4.2796
 Tona,3.7449
 Tona,3.4366
 Tona,3.5158
 Tona,3.8374
 Tona,2.8728
 Tona,3.0789
 Tona,3.3573
 Tona,4.2382
 Tona,2.9829
 Tona,3.049
 Tona,2.7406
 Tona,2.2931
 Tona,2.4455
 Tona,2.8569
 Tona,2.9389
 Tona,4.0048
 Tona,2.9389
 Tona,2.7847
 Tona,2.6226
 Tona,4.5906
 Tona,3.5467
 Tona,3.6586
 Tona,4.2796
 Tona,4.6786
 Tona,3.9299
 Tona,3.8065
 Tona,3.8374
 Tona,3.322
 Tona,3.0234
 Tona,3.8065
 Tona,3.5476
 Tona,3.2269
 Tona,3.6832
 Tona,3.6321
 Tona,4.1483
 Tona,4.0233
 Tona,3.7185
 Tona,3.4101
 Tona,3.3573
 Tona,3.7449
 Tona,3.9519
 Tona,4.3404
 Tona,4.9429
 Tona,4.9165
 Tona,5.4997
 Tona,4.9429
 Tona,3.9299
 Tona,5.3393
 Tona,4.5465
 Tona,4.3791
 Tona,4.2488
 Tona,4.151
 Tona,4.2822
 Tona,3.1811
Socorro,4.5835
Socorro,4.1061
Socorro,3.7933
Socorro,3.5555
Socorro,3.6956
Socorro,3.2516
Socorro,4.0127
Socorro,3.9034
Socorro,2.9433
Socorro,3.1776
Socorro,4.7932
Socorro,3.5123
Socorro,4.2435
Socorro,4.6196
Socorro,4.284
Socorro,4.0902
Socorro,4.38
Socorro,5.0178
Socorro,7.2615
Socorro,7.0835
Socorro,5.1631
Socorro,6.1586
Socorro,5.3869
Socorro,5.1358
Socorro,4.5571
Socorro,5.0178
Socorro,6.7188
Socorro,5.9093
Socorro,4.8795
Socorro,6.1401
Socorro,6.5973
Socorro,8.123
Socorro,4.1915
Socorro,6.8105
Socorro,7.9873
Socorro,5.5772
Socorro,4.0109
Socorro,5.482
Socorro,4.38
Socorro,5.0486
Socorro,11.0705
Socorro,5.7798
Socorro,5.2248
Socorro,8.0243
Socorro,8.8004
Socorro,6.0661
Socorro,10.0592
Socorro,7.0835
Socorro,5.8414
Socorro,3.1194
Socorro,6.8281
Socorro,4.824
Socorro,6.6871
Socorro,6.1057
Socorro,6.8633
Socorro,5.6961
Socorro,6.2502
Socorro,5.6697
Socorro,6.3392
Socorro,5.5375
Socorro,6.3048
Socorro,6.7964
Socorro,5.5877
Socorro,6.3524
Socorro,5.3481
Socorro,8.4366
Socorro,4.8636
Socorro,5.5005
Socorro,6.0661
Socorro,3.6621
Socorro,9.1202
Socorro,6.9946
Socorro,7.7521
Socorro,3.4524
Socorro,3.1406
Socorro,5.0495
Socorro,6.3779
Socorro,6.3163
Socorro,4.994
Socorro,5.638
Socorro,5.4873
Socorro,4.3879
Socorro,4.7368
Socorro,3.7986
Socorro,3.7449
Socorro,4.7315
Socorro,3.7132
Socorro,6.7884
Socorro,4.0003
Socorro,4.1818
Socorro,4.6919
Socorro,5.2865
Socorro,4.9588
Socorro,3.7872
Socorro,4.8161
Socorro,3.7801
Socorro,3.5335
Socorro,5.2865
Socorro,3.3361
Socorro,5.3481
Socorro,4.291
Socorro,4.9209
Socorro,5.0856
Socorro,3.2868
Socorro,4.9429
Socorro,4.0074
Socorro,3.271
Socorro,4.4672
Socorro,3.0049
Socorro,4.1501
Socorro,3.3573
Socorro,2.8816
Socorro,2.8508
Socorro,3.6656
Socorro,3.5291
Socorro,2.8287
Socorro,3.1591
Socorro,2.0888
Socorro,2.4588
Socorro,2.2579
Socorro,6.2731
Socorro,4.6839
Socorro,4.0972
Socorro,4.5659
Socorro,2.782
Socorro,6.9267
Socorro,5.4371
Socorro,4.4831
Socorro,2.8199
Socorro,2.2561
Socorro,4.5333
Socorro,4.6117
Socorro,3.0402
Socorro,3.4762
Socorro,3.2868
Socorro,3.1106
Socorro,2.1945
Socorro,2.7759
Socorro,2.2121
Socorro,3.5951
Socorro,5.823
Socorro,4.8848
Socorro,4.4329
Socorro,3.0217
Socorro,8.1318
Socorro,3.855
Socorro,5.9031
Socorro,6.3524
Socorro,3.2384
Socorro,2.6041
Bucaramanga,6.3224
Bucaramanga,6.2572
Bucaramanga,6.6836
Bucaramanga,5.8441
Bucaramanga,4.6196
Bucaramanga,7.0994
Bucaramanga,5.5243
Bucaramanga,5.1861
Bucaramanga,5.4054
Bucaramanga,4.8161
Bucaramanga,6.0846
Bucaramanga,8.1618
Bucaramanga,6.8897
Bucaramanga,6.5638
Bucaramanga,6.9382
Bucaramanga,10.1755
Bucaramanga,9.3351
Bucaramanga,9.4091
Bucaramanga,8.138
Bucaramanga,5.6829
Bucaramanga,5.5701
Bucaramanga,5.4715
Bucaramanga,5.9516
Bucaramanga,8.0649
Bucaramanga,7.1734
Bucaramanga,5.823
Bucaramanga,6.1004
Bucaramanga,5.1631
Bucaramanga,6.0088
Bucaramanga,8.3327
Bucaramanga,7.0518
Bucaramanga,8.1142
Bucaramanga,6.6959
Bucaramanga,6.7532
Bucaramanga,4.1941
Bucaramanga,4.4144
Bucaramanga,5.7357
Bucaramanga,5.6494
Bucaramanga,5.4856
Bucaramanga,6.2669
Bucaramanga,8.7176
Bucaramanga,6.0661
Bucaramanga,7.4007
Bucaramanga,8.1045
Bucaramanga,7.2421
Bucaramanga,5.4715
Bucaramanga,6.9514
Bucaramanga,7.3637
Bucaramanga,6.9514
Bucaramanga,7.4535
Bucaramanga,6.4581
Bucaramanga,8.2648
Bucaramanga,6.6951
Bucaramanga,8.5502
Bucaramanga,10.4662
Bucaramanga,10.6424
Bucaramanga,5.7798
Bucaramanga,11.4793
Bucaramanga,10.6865
Bucaramanga,8.3573
Bucaramanga,4.5835
Bucaramanga,4.9288
Bucaramanga,5.1755
Bucaramanga,6.2379
Bucaramanga,3.4366
Bucaramanga,4.4355
Bucaramanga,6.0449
Bucaramanga,4.8531
Bucaramanga,4.6892
Bucaramanga,4.2426
Bucaramanga,5.5402
Bucaramanga,4.9614
Bucaramanga,3.7933
Bucaramanga,4.8901
Bucaramanga,5.1861
Bucaramanga,8.3573
