Localidad,Area
Tona,3.6871
Tona,3.7727
Tona,3.3499
Tona,3.4507
Tona,3.5839
Tona,3.3749
Tona,3.3969
Tona,3.1318
Tona,2.9621
Tona,3.552
Tona,3.6656
Tona,3.0683
Tona,3.3021
Tona,3.6825
Tona,3.4105
Tona,4.1619
Tona,3.9369
Tona,4.4952
Tona,3.9029
Tona,3.3402
Tona,4.9762
Tona,4.4961
Tona,4.1719
Tona,5.272
Tona,3.7629
Tona,3.306
Tona,2.677
Tona,3.0579
Tona,4.1508
Tona,3.5839
Tona,3.5793
Tona,3.7315
Tona,4.3793
Tona,4.8517
Tona,4.0484
Socorro,3.9468
Socorro,3.4577
Socorro,4.2905
Socorro,5.5666
Socorro,5.2803
Socorro,5.7331
Socorro,6.7419
Socorro,4.8998
Socorro,7.78
Socorro,6.4339
Socorro,6.2616
Socorro,5.8985
Socorro,6.0779
Socorro,5.7058
Socorro,6.092
Socorro,5.6751
Socorro,4.4311
Socorro,4.6831
Socorro,4.7081
Socorro,4.2569
Socorro,4.5055
Socorro,3.7801
Socorro,3.2569
Socorro,2.5586
Socorro,4.4804
Socorro,4.3846
Socorro,3.7896
Socorro,2.7776
Socorro,5.2588
Socorro,4.3906
Bucaramanga,5.9454
Bucaramanga,5.6062
Bucaramanga,6.9276
Bucaramanga,8.5481
Bucaramanga,6.4463
Bucaramanga,6.2856
Bucaramanga,6.5619
Bucaramanga,5.5104
Bucaramanga,7.5062
Bucaramanga,6.8383
Bucaramanga,8.0869
Bucaramanga,9.389
Bucaramanga,4.8724
Bucaramanga,4.8531
Bucaramanga,4.8742
Bucaramanga,6.3261
Bucaramanga,5.2491
Bucaramanga,9.3669
Bucaramanga,8.7692
Bucaramanga,6.3563
Bucaramanga,5.9162
Bucaramanga,5.2523
Bucaramanga,7.2236
Bucaramanga,5.7763
Bucaramanga,7.6345
Bucaramanga,12.8315
Bucaramanga,7.2974
Bucaramanga,6.3242
Bucaramanga,15.0542
Bucaramanga,13.5133
